utc_timestamp,actual_mw,forecast_mw,previous_week_mw,previous_52_weeks_mw,previous_365_days_mw,error_mw,absolute_error_mw,absolute_percentage_error
2020-01-06 00:00:00+00:00,43646.0000000000,45655.3839865579,41138.0000000000,44304.0000000000,43535.0000000000,2009.3839865579,2009.3839865579,4.6038216253
2020-01-06 01:00:00+00:00,42812.0000000000,44936.0056349156,40026.0000000000,43691.0000000000,42181.0000000000,2124.0056349156,2124.0056349156,4.9612389865
2020-01-06 02:00:00+00:00,43212.0000000000,45263.9123653873,40194.0000000000,44287.0000000000,41981.0000000000,2051.9123653873,2051.9123653873,4.7484781204
2020-01-06 03:00:00+00:00,44464.0000000000,46211.0332095235,41114.0000000000,46200.0000000000,41903.0000000000,1747.0332095235,1747.0332095235,3.9290959192
2020-01-06 04:00:00+00:00,47111.0000000000,48709.3085269823,42845.0000000000,50649.0000000000,41300.0000000000,1598.3085269823,1598.3085269823,3.3926440258
2020-01-06 05:00:00+00:00,51821.0000000000,54722.6503630777,45099.0000000000,59542.0000000000,40917.0000000000,2901.6503630777,2901.6503630777,5.5993716120
2020-01-06 06:00:00+00:00,57075.0000000000,61746.6966198849,48828.0000000000,66261.0000000000,42040.0000000000,4671.6966198849,4671.6966198849,8.1851889967
2020-01-06 07:00:00+00:00,59509.0000000000,65883.4218055303,51706.0000000000,68960.0000000000,44988.0000000000,6374.4218055303,6374.4218055303,10.7116937027
2020-01-06 08:00:00+00:00,61130.0000000000,66951.3662793940,53959.0000000000,69247.0000000000,48812.0000000000,5821.3662793940,5821.3662793940,9.5229286429
2020-01-06 09:00:00+00:00,62336.0000000000,67834.0976982442,53475.0000000000,70469.0000000000,51933.0000000000,5498.0976982442,5498.0976982442,8.8201002603
2020-01-06 10:00:00+00:00,63191.0000000000,69134.6461264312,53629.0000000000,71360.0000000000,54497.0000000000,5943.6461264312,5943.6461264312,9.4058428042
2020-01-06 11:00:00+00:00,63404.0000000000,68836.6216584980,54139.0000000000,70861.0000000000,55033.0000000000,5432.6216584980,5432.6216584980,8.5682632933
2020-01-06 12:00:00+00:00,62372.0000000000,68629.5600111002,52653.0000000000,70827.0000000000,53673.0000000000,6257.5600111002,6257.5600111002,10.0326428704
2020-01-06 13:00:00+00:00,61577.0000000000,67640.1324567740,52431.0000000000,70353.0000000000,53219.0000000000,6063.1324567740,6063.1324567740,9.8464239193
2020-01-06 14:00:00+00:00,61264.0000000000,67239.6188007037,52719.0000000000,69778.0000000000,52240.0000000000,5975.6188007037,5975.6188007037,9.7538828687
2020-01-06 15:00:00+00:00,62276.0000000000,67455.9358933981,54457.0000000000,70582.0000000000,53738.0000000000,5179.9358933981,5179.9358933981,8.3177080953
2020-01-06 16:00:00+00:00,66018.0000000000,70068.6821230226,58272.0000000000,72983.0000000000,57201.0000000000,4050.6821230226,4050.6821230226,6.1357237769
2020-01-06 17:00:00+00:00,66215.0000000000,70023.5304200135,58564.0000000000,72271.0000000000,58107.0000000000,3808.5304200135,3808.5304200135,5.7517638300
2020-01-06 18:00:00+00:00,64831.0000000000,69268.4922687305,56927.0000000000,69826.0000000000,56663.0000000000,4437.4922687305,4437.4922687305,6.8447074220
2020-01-06 19:00:00+00:00,61350.0000000000,65676.4493711716,53959.0000000000,66773.0000000000,54371.0000000000,4326.4493711716,4326.4493711716,7.0520772146
2020-01-06 20:00:00+00:00,58821.0000000000,62735.0442964678,51937.0000000000,63890.0000000000,52443.0000000000,3914.0442964678,3914.0442964678,6.6541614329
2020-01-06 21:00:00+00:00,56577.0000000000,60816.2652987720,50574.0000000000,61124.0000000000,52249.0000000000,4239.2652987720,4239.2652987720,7.4929128423
2020-01-06 22:00:00+00:00,52904.0000000000,56622.9696686757,47382.0000000000,57444.0000000000,49497.0000000000,3718.9696686757,3718.9696686757,7.0296568665
2020-01-06 23:00:00+00:00,50708.0000000000,53014.0742679480,44018.0000000000,53755.0000000000,46260.0000000000,2306.0742679480,2306.0742679480,4.5477523624
