ds,trend
2017-04-15,56322.35499241471
2017-04-16,56319.235363157895
2017-04-17,56316.115733901075
2017-04-18,56312.99610464426
2017-04-19,56309.87647538745
2017-04-20,56306.75684613064
2017-04-21,56303.637216873816
2017-04-22,56300.517587617
2017-04-23,56297.39795836019
2017-04-24,56294.27832910337
2017-04-25,56291.15869984656
2017-04-26,56288.03907058973
2017-04-27,56284.919441332924
2017-04-28,56281.799812076104
2017-04-29,56278.680182819284
2017-04-30,56275.56055356247
2017-05-01,56272.44092430566
2017-05-02,56269.321295048845
2017-05-03,56266.201665792025
2017-05-04,56263.08203653521
2017-05-05,56259.9624072784
2017-05-06,56256.84277802158
2017-05-07,56253.723148764766
2017-05-08,56250.60351950795
2017-05-09,56247.48389025113
2017-05-10,56244.36426099432
2017-05-11,56241.24463173751
2017-05-12,56238.12500248069
2017-05-13,56235.005373223874
2017-05-14,56231.88574396706
2017-05-15,56228.76611471024
2017-05-16,56225.64648545343
2017-05-17,56222.526856196615
2017-05-18,56219.407226939795
2017-05-19,56216.28759768298
2017-05-20,56213.16796842617
2017-05-21,56210.04833916935
2017-05-22,56206.928709912536
2017-05-23,56203.80908065572
2017-05-24,56200.68945139891
2017-05-25,56197.56982214209
2017-05-26,56194.45019288528
2017-05-27,56191.08203663608
2017-05-28,56187.50358831641
2017-05-29,56183.92513999674
2017-05-30,56180.34669167708
2017-05-31,56176.76824335741
2017-06-01,56173.18979503774
2017-06-02,56169.61134671807
2017-06-03,56166.0328983984
2017-06-04,56162.45445007873
2017-06-05,56158.87600175907
2017-06-06,56155.2975534394
2017-06-07,56151.71910511972
2017-06-08,56148.14065680006
2017-06-09,56144.56220848039
2017-06-10,56140.98376016072
2017-06-11,56137.40531184106
2017-06-12,56133.82686352139
2017-06-13,56130.24841520171
2017-06-14,56126.66996688205
2017-06-15,56123.09151856238
2017-06-16,56119.51307024271
2017-06-17,56115.93462192305
2017-06-18,56112.35617360338
2017-06-19,56108.777725283704
2017-06-20,56105.19927696404
2017-06-21,56101.62082864437
2017-06-22,56098.0423803247
2017-06-23,56094.46393200504
2017-06-24,56090.88548368537
2017-06-25,56087.307035365695
2017-06-26,56083.72858704603
2017-06-27,56080.15013872636
2017-06-28,56076.5716904067
2017-06-29,56072.99324208703
2017-06-30,56069.41479376736
2017-07-01,56065.8363454477
2017-07-02,56062.25789712802
2017-07-03,56058.679448808354
2017-07-04,56055.10100048869
2017-07-05,56051.52255216902
2017-07-06,56047.94410384935
2017-07-07,56044.36565552969
2017-07-08,56040.787207210014
2017-07-09,56037.208758890345
2017-07-10,56033.63031057068
2017-07-11,56030.05186225101
